YelpLeaf,YelpParent1,YelpParent2,YelpParent3,MatchLeaf,MatchParent1,MatchParent2,MatchParent3,Tradition,Self-Expression,Utilitarian,Charisma,Egalitarian,Neighborliness,Formality,Exhibitionism,Glamour,Transgression,Rationality,Locality,State,Corporateness,Ethnicity
Adult Education,Education,-,-,Schools-Academic-Special Purpose,Academic,-,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
Advertising,Professional Services,-,-,Advertising Agencies & Consultants,Advertising,-,-,3.0,3.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Aerial Fitness,Fitness & Instruction,Active Life,-,Exercise & Physical Fitness Programs,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.4,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Aerial Tours,Tours,Hotels & Travel,-,Aerial Tours,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
Aestheticians,Medical Spas,Beauty & Spas,-,Estheticians,"Barbers, Beauty Salons & Spas",-,-,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Afghan,Restaurants,-,-,Afghan Restaurant,-,-,-,4.0,3.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
African,Restaurants,-,-,African Restaurant,-,-,-,4.0,3.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Afro-Brazilian,Religious Organizations,-,-,Religious organizations,-,-,-,3.8,2.6,2.0,3.8,4.0,4.4,3.4,3.0,3.0,2.25,2.5,2.75,2.0,2.25,3.0
Agriturismi,Hotels,Event Planning & Services,-,Bed and Breakfast,Other Traveller Accommodation,Accommodation Services,Accommodation and Food Services,3.0,3.0,2.0,3.0,3.0,3.5,3.0,3.0,3.0,2.0,3.0,3.5,3.0,2.0,3.0
Aircraft Dealers,Automotive,-,-,"Aircraft Equipment, Parts & Supplies",Aircrafts & Airports,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Aircraft Repairs,Automotive,-,-,Aircraft Mfrs,Aircrafts & Airports,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Air Duct Cleaning,Local Services,-,-,Homemakers Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Airlines,Transportation,Hotels & Travel,-,Air Cargo Service,Aircrafts & Airports,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Airport Shuttles,Transportation,Hotels & Travel,-,Airport Equipment & Supplies,Aircrafts & Airports,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Airport Lounges,Bars,Nightlife,-,Bars,-,-,-,3.0,3.0,2.0,3.0,3.0,3.5,2.5,3.0,3.0,3.0,2.0,3.5,3.0,3.0,3.0
Airports,Hotels & Travel,-,-,Airports,-,-,-,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Airport Terminals,Airports,Hotels & Travel,-,Airports,-,-,-,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Airsoft,Active Life,-,-,Exercise & Physical Fitness Programs,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.4,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Alentejo,Portuguese,Restaurants,-,Portuguese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Algarve,Portuguese,Restaurants,-,Portuguese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Allergists,Doctors,Health & Medical,-,General (except Paediatric) Hospitals,General Medical and Surgical Hospitals,Health Care and Social Assistance,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0
Alsatian,French,Restaurants,-,French Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.0,3.2,3.0,3.75,3.0,3.0,3.0,3.0,3.0,3.0
Altoatesine,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Amateur Sports Teams,Active Life,-,-,Sports teams and clubs,-,-,-,3.0,3.0,2.2,3.6,3.0,3.8,3.6,3.2,3.0,2.5,2.75,4.0,3.0,3.0,3.0
Amusement Parks,Active Life,-,-,Amusement Places,Amusement Centres,-,-,3.0,3.0,1.0,3.5,3.0,3.0,2.5,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Andalusian,Restaurants,-,-,Spanish Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Anesthesiologists,Doctors,Health & Medical,-,General (except Paediatric) Hospitals,General Medical and Surgical Hospitals,Health Care and Social Assistance,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0
Animal Assisted Therapy,Health & Medical,-,-,Veterinarians,Pet Services,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Holistic Animal Care,Pet Services,Pets,-,Veterinarians,Pet Services,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Animal Physical Therapy,Pet Services,Pets,-,Veterinarians,Pet Services,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Animal Shelters,Pets,-,-,Animal Protection & Shelters,Pet Services,-,-,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Antiques,Shopping,-,-,Antique Dealers,Antiques,-,-,5.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.5,4.0,3.0,3.5,3.0
Apartment Agents,Real Estate Agents,Real Estate,Home Services,Real Estate-Service Agencies,Real Estate,-,-,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Apartments,Real Estate,Home Services,-,Real Estate-General,Real Estate,-,-,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Appliances,Home & Garden,Shopping,-,Home Centres,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,Retail Trade,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Appraisal Services,Local Services,-,-,Appraisers,Real Estate,-,-,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.5,3.0,3.0,3.0,3.0
Apulian,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Aquarium Services,Pet Services,Pets,-,Aquariums-Services,Pet Services,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Arabian,Restaurants,-,-,Middle Eastern Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Arab Pizza,Arabian,Restaurants,-,Middle Eastern Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Arcades,Arts & Entertainment,-,-,Amusement Arcades,Amusement Parks and Arcades,"Amusement, Gambling and Recreation Industries","Arts, Entertainment and Recreation",3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Archery,Active Life,-,-,Archery & Crossbow-Equipment & Supplies,Sporting Goods,-,-,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Architects,Professional Services,-,-,Architectural services,-,-,-,3.0,3.4,3.0,3.2,3.0,3.0,3.4,3.0,3.25,3.0,3.0,3.0,3.0,2.75,3.0
Architectural Tours,Tours,Hotels & Travel,-,Tour operators,-,-,-,3.0,3.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.75,3.0,3.0,3.0
Argentine,Restaurants,-,-,Latin American Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Armenian,Restaurants,-,-,Armenian Restaurant,-,-,-,4.0,3.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Arroceria / Paella,Spanish,Restaurants,-,Spanish Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Art Classes,Education,-,-,Art Schools,Arts Supplies & Services,-,-,3.5,2.5,2.0,4.5,3.0,3.0,3.0,3.0,3.0,3.5,2.0,4.0,3.0,2.0,3.0
Art Consultants,Professional Services,-,-,"Art Galleries, Dealers & Consultants",Arts Supplies & Services,-,-,3.0,3.5,2.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,3.0
Artificial Turf,Home Services,-,-,Patio Furniture & Supplies-Retail,Garden & Lawn,-,-,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Art Installation,Local Services,-,-,Artists – Fine Arts,-,-,-,3.6,4.2,1.8,4.0,3.0,3.0,3.8,3.0,3.0,3.0,2.25,3.0,3.0,2.25,3.0
Art Museums,Museums,Arts & Entertainment,-,art muscums and galleries,-,-,-,3.4,4.0,1.6,4.0,3.0,3.0,3.8,3.6,3.75,3.25,2.25,4.0,3.0,2.25,3.0
Art Restoration,Local Services,-,-,Antiques Repair & Restore,-,-,-,4.4,3.4,2.0,3.0,3.0,3.2,3.0,3.0,2.75,2.25,3.0,4.0,3.0,2.0,3.0
Arts & Crafts,Shopping,-,-,Arts & Crafts-Retail,Arts Supplies & Services,-,-,3.5,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.5,3.0,3.0,3.5,3.0,2.0,3.5
Art Schools,Specialty Schools,Education,-,Fine arts schools,-,-,-,4.0,4.0,1.4,3.8,3.0,3.2,2.4,3.0,3.25,3.5,2.0,3.0,2.5,2.25,3.0
Art Space Rentals,Real Estate,Home Services,-,"Art Galleries, Dealers & Consultants",Arts Supplies & Services,-,-,3.0,3.5,2.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,3.0
Art Supplies,Arts & Crafts,Shopping,-,Arts & Crafts Markets,Arts Supplies & Services,-,-,3.5,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.5,3.0,3.0,3.5,3.0,2.0,3.5
Art Tours,Tours,Hotels & Travel,-,Tour operators,-,-,-,3.0,3.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.75,3.0,3.0,3.0
Asian Fusion,Restaurants,-,-,Asian Restaurant,-,-,-,3.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.25
Assisted Living Facilities,Health & Medical,-,-,Nursing Homes,Long Term Care,-,-,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0
Astrologers,Supernatural Readings,Arts & Entertainment,-,"Astrologers, Psychic Consultants, Etc.",Alternative Health Care,-,-,3.0,3.0,2.5,4.0,3.0,3.5,3.0,3.0,3.0,3.0,2.0,3.0,2.5,3.0,3.0
Asturian,Restaurants,-,-,Spanish Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Ateliers,Arts & Crafts,Shopping,-,Arts & Crafts-Retail,Arts Supplies & Services,-,-,3.5,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.5,3.0,3.0,3.5,3.0,2.0,3.5
Attraction Farms,Farms,Arts & Entertainment,-,Arts & Cultural Organizations,Artists & Entertainers,-,-,3.5,3.5,2.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.5,3.0,2.0,3.0
ATV Rentals/Tours,Active Life,-,-,Recreational Vehicles-Renting & Leasing,Motorized Vehicles,-,-,3.0,3.0,2.5,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Auction Houses,Shopping,-,-,Art Dealers,Other Miscellaneous Store Retailers,Retail Trade,-,3.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
Audiologist,Doctors,Health & Medical,-,Audiologists,Physicians & Surgeons,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Audio/Visual Equipment Rental,Party Equipment Rentals,Event Planning & Services,-,Audiovisual Equipment & Supplies Renting,Communication & Audio-Visual,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Australian,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Austrian,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Authorized Postal Representative,Public Services & Government,-,-,Post Offices,"Shipping, Packaging & Postal Services",-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0
Auto Detailing,Automotive,-,-,Automobile Detailing,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Auto Customization,Automotive,-,-,Automobile Customizing,-,-,-,2.8,4.2,1.8,3.0,3.0,3.6,3.0,3.6,3.25,3.0,3.5,3.25,3.0,2.75,3.0
Car Inspectors,Automotive,-,-,"Automotive Body, Paint and Interior Repair and Maintenance","Automotive Body, Paint, Interior and Glass Repair",Automotive Repair and Maintenance,Other Services (except Public Administration),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Auto Electric Services,Automotive,-,-,"Automotive Body, Paint and Interior Repair and Maintenance","Automotive Body, Paint, Interior and Glass Repair",Automotive Repair and Maintenance,Other Services (except Public Administration),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Auto Glass Services,Automotive,-,-,"Automotive Body, Paint and Interior Repair and Maintenance","Automotive Body, Paint, Interior and Glass Repair",Automotive Repair and Maintenance,Other Services (except Public Administration),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Auto Insurance,Insurance,Financial Services,-,"Direct, Public, Automobile Insurance Carriers","Direct Insurance (except Life, Health and Medical) Carriers",Insurance Carriers and Related Activities,Finance and Insurance,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0
Auto Loan Providers,Automotive,-,-,Automobile Dealers-New Cars,New & Used Dealers,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Auto Parts & Supplies,Automotive,-,-,Automotive Parts and Accessories Stores,"Automotive Parts, Accessories and Tire Stores",Motor Vehicle and Parts Dealers,Retail Trade,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0
Auto Repair,Automotive,-,-,Automobile Body Repairing & Painting,Repairs,Body work,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Auto Security,Automotive,-,-,Automobile Body Shop Equipment & Supplies,Repairs,Body work,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Auto Upholstery,Automotive,-,-,Automobile Upholstery Cleaning,Detailing & Aesthetics,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Auvergnat,French,Restaurants,-,French Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.0,3.2,3.0,3.75,3.0,3.0,3.0,3.0,3.0,3.0
Aviation Services,Automotive,-,-,Aviation Consultants,Aircrafts & Airports,-,-,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Axe Throwing,Active Life,-,-,Amusement and Theme Parks,Amusement Parks and Arcades,"Amusement, Gambling and Recreation Industries","Arts, Entertainment and Recreation",3.0,3.0,2.0,3.5,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Ayurveda,Health & Medical,-,-,Health Service,"Medical Products, Equipment & Services",-,-,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Azores,Portuguese,Restaurants,-,Portuguese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Baby Gear & Furniture,Shopping,-,-,Baby Furniture-Retail,Children & Child Care,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Backflow Services,Plumbing,Home Services,-,Water and Sewer Line and Related Structures Construction,Utility System Construction,Heavy and Civil Engineering Construction,-,3.0,3.0,3.0,3.0,4.0,3.0,2.5,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0
Backshop,Food,-,-,Baked goods stores,-,-,-,3.0,3.0,3.0,3.0,3.0,3.6,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0
Baden,German,Restaurants,-,German Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Badminton,Active Life,-,-,Racquetball Courts,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Bagels,Food,-,-,Bagels,Foods,General,-,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0
Baguettes,Restaurants,-,-,Baked goods stores,-,-,-,3.0,3.0,3.0,3.0,3.0,3.6,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0
Bail Bondsmen,Local Services,-,-,Bail Bonds,-,-,-,3.0,3.0,3.0,3.0,3.0,2.4,3.0,2.6,3.0,3.75,3.0,3.0,3.0,3.0,3.0
Bakeries,Food,-,-,Bakeries,-,-,-,3.0,3.0,3.0,3.0,3.0,3.4,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0
Balloon Services,Event Planning & Services,-,-,Balloons-Hot Air,Games,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Bangladeshi,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Bankruptcy Law,Lawyers,Professional Services,-,Insolvency Consultants,Banks & Financial Services,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Banks & Credit Unions,Financial Services,-,-,Banks,Banks & Financial Services,-,-,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0
Barbers,Beauty & Spas,-,-,Barbers,"Barbers, Beauty Salons & Spas",-,-,3.0,3.0,2.0,3.0,3.0,3.5,3.0,3.0,4.0,3.0,2.0,3.5,3.0,3.0,3.0
Bar Crawl,Nightlife,-,-,Clubs,Night Life,-,-,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
Barre Classes,Fitness & Instruction,Active Life,-,Exercise & Physical Fitness Programs,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.4,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Bars,Nightlife,-,-,Bars & Pubs,-,-,-,3.0,3.0,1.8,3.2,3.0,3.8,3.0,3.2,3.0,3.0,2.25,3.5,2.75,3.0,3.0
Bartenders,Event Planning & Services,-,-,Bartender & Host Services,Facilities & Services,-,-,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Bartending Schools,Specialty Schools,Education,-,Schools-Special Purpose,Specialized Schools,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Baseball Fields,Active Life,-,-,"Stadiums, Arenas, Athletic Fields & Sports Complexes",-,-,-,3.0,3.0,2.2,3.6,3.0,3.2,3.0,2.8,3.0,3.0,3.0,4.0,3.0,3.75,3.0
Basketball Courts,Active Life,-,-,Basketball Clubs,Team Sports,-,-,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Basque,Restaurants,-,-,Basque Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Bathing Area,Active Life,-,-,Baths-Floating,"Barbers, Beauty Salons & Spas",-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Battery Stores,Shopping,-,-,Warehouse Clubs and Superstores,Other General Merchandise Stores,Retail Trade,-,3.0,2.5,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0
Batting Cages,Active Life,-,-,Baseball Batting Cages & Ranges,Team Sports,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Bavarian,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Barbeque,Restaurants,-,-,Barbecue Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.75,3.0,3.0,3.75
Beach Bars,Bars,Nightlife,-,Bars & Pubs,-,-,-,3.0,3.0,1.8,3.2,3.0,3.8,3.0,3.2,3.0,3.0,2.25,3.5,2.75,3.0,3.0
Beach Equipment Rentals,Active Life,-,-,Recreational goods rental,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Beaches,Active Life,-,-,Recreation Centres-Outdoor,Parks & Recreation Centres,-,-,3.0,3.0,2.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Beach Volleyball,Active Life,-,-,Recreation Centres-Outdoor,Parks & Recreation Centres,-,-,3.0,3.0,2.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Bed & Breakfast,Hotels & Travel,-,-,Bed & breakfast inns,-,-,-,3.6,3.0,2.4,3.0,3.0,4.0,3.8,3.0,3.0,3.0,3.0,4.5,3.0,2.0,3.0
"Beer, Wine & Spirits",Food,-,-,"Beer, Wine and Liquor Stores",Food and Beverage Stores,Retail Trade,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0
Beer Bar,Bars,Nightlife,-,Bars & Pubs,-,-,-,3.0,3.0,1.8,3.2,3.0,3.8,3.0,3.2,3.0,3.0,2.25,3.5,2.75,3.0,3.0
Beer Garden,Restaurants,-,-,Full-service restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Beer Gardens,Nightlife,-,-,Beer Gardens,-,-,-,3.2,3.0,1.6,3.0,3.0,3.6,2.8,3.2,3.0,3.0,2.25,3.75,3.0,3.0,3.0
